Date,N,SCORE,City,Avg_Temp
2012-01-01,385,0.5976726623376624,New York,7.8
2012-01-02,500,0.587724832,New York,4.3
2012-01-03,551,0.5600069818511796,New York,-3.5
2012-01-04,431,0.5881157517401392,New York,-6.4
2012-01-05,437,0.5785530778032036,New York,0.6
2012-01-06,512,0.582914994140625,New York,5.5
2012-01-07,496,0.5776784798387098,New York,9.9
2012-01-08,489,0.5792762862985684,New York,5.0
2012-01-09,457,0.5806686148796498,New York,1.9
2012-01-10,445,0.5825536426966292,New York,4.4
2012-01-11,462,0.5870362251082251,New York,4.9
2012-01-12,448,0.5797077522321429,New York,6.8
2012-01-13,488,0.5889611413934426,New York,3.0
2012-01-14,488,0.5926643135245901,New York,-1.0
2012-01-15,561,0.5789751942959002,New York,-5.7
2012-01-16,499,0.5884184649298597,New York,-3.6
2012-01-17,425,0.5750968635294118,New York,5.2
2012-01-18,458,0.5878294716157206,New York,3.8
2012-01-19,508,0.5687411515748032,New York,-2.3
2012-01-20,529,0.5798505765595463,New York,-0.8
2012-01-21,501,0.5799952754491018,New York,-3.7
2012-01-22,486,0.573148572016461,New York,-3.9
2012-01-23,542,0.5581178357933579,New York,4.6
2012-01-24,473,0.5821705496828753,New York,8.9
2012-01-25,513,0.565851477582846,New York,5.3
2012-01-26,517,0.582752669245648,New York,2.9
2012-01-27,502,0.5818159003984064,New York,9.0
2012-01-28,493,0.601820784989858,New York,6.3
2012-01-29,503,0.5824224234592446,New York,4.0
2012-01-30,492,0.5371620304878048,New York,2.7
2012-01-31,507,0.5847864063116371,New York,8.2
2012-02-01,546,0.5686711153846155,New York,12.6
2012-02-02,506,0.5639589644268775,New York,5.8
2012-02-03,508,0.5913773149606298,New York,3.4
2012-02-04,572,0.6013783723776224,New York,4.9
2012-02-05,595,0.5921289445378152,New York,1.9
2012-02-06,661,0.5674472692889561,New York,4.5
2012-02-07,505,0.5846264594059406,New York,5.7
2012-02-08,495,0.5836776888888889,New York,1.0
2012-02-09,450,0.5963555911111111,New York,2.8
2012-02-10,551,0.6127860290381125,New York,3.4
2012-02-11,510,0.6048785980392157,New York,2.1
2012-02-12,518,0.593561333976834,New York,-2.6
2012-02-13,614,0.5839239625407167,New York,1.5
2012-02-14,517,0.6255371702127661,New York,4.7
2012-02-15,498,0.5891260301204819,New York,5.6
2012-02-16,562,0.5905208256227757,New York,3.9
2012-02-17,535,0.5975370915887851,New York,7.6
2012-02-18,518,0.5971036003861004,New York,5.0
2012-02-19,554,0.5910319079422383,New York,3.9
2012-02-20,488,0.5789184590163934,New York,3.2
2012-02-21,501,0.574867508982036,New York,3.9
2012-02-22,551,0.5780254736842105,New York,9.3
2012-02-23,276,0.5697161304347826,New York,10.6
2012-02-24,523,0.602019397705545,New York,5.8
2012-02-25,540,0.5885887907407407,New York,4.8
2012-02-26,565,0.5861170336283186,New York,3.1
2012-02-27,588,0.5940911292517007,New York,7.6
2012-02-28,580,0.5763185275862069,New York,7.2
2012-02-29,556,0.5803234424460432,New York,5.0
2012-03-01,553,0.5857591066907776,New York,4.8
2012-03-02,564,0.6055684609929077,New York,3.7
2012-03-03,521,0.5934080902111324,New York,9.5
2012-03-04,618,0.5781988155339806,New York,5.3
2012-03-05,489,0.575300100204499,New York,2.8
2012-03-06,546,0.583662316849817,New York,1.7
2012-03-07,520,0.5976215057692308,New York,9.3
2012-03-08,534,0.5698660149812734,New York,16.3
2012-03-09,533,0.5746552251407129,New York,8.1
2012-03-10,527,0.5984081328273245,New York,2.6
2012-03-11,557,0.5923865332136447,New York,7.9
2012-03-12,503,0.5878631530815108,New York,13.2
2012-03-13,489,0.582504509202454,New York,17.5
2012-03-14,571,0.5935954640980735,New York,18.1
2012-03-15,560,0.6030746446428571,New York,8.5
2012-03-16,557,0.5703067271095152,New York,8.1
2012-03-17,549,0.5809906848816029,New York,10.3
2012-03-18,573,0.5704418481675393,New York,11.1
2012-03-19,587,0.5844686695059625,New York,16.7
2012-03-20,605,0.5815401024793387,New York,16.4
2012-03-21,585,0.5594618461538462,New York,15.5
2012-03-22,550,0.5898894163636365,New York,17.9
2012-03-23,568,0.5759094911971832,New York,18.2
2012-03-24,567,0.5925179312169312,New York,14.4
2012-03-25,576,0.5972081284722222,New York,9.6
2012-03-26,520,0.5695235326923077,New York,9.4
2012-03-27,465,0.5799719956989248,New York,5.4
2012-03-28,549,0.5854348469945356,New York,12.3
2012-03-29,513,0.5827912807017543,New York,12.3
2012-03-30,580,0.6084321482758621,New York,8.5
2012-03-31,545,0.5727814935779817,New York,5.7
2012-04-01,184,0.5517377608695652,New York,8.5
2012-04-12,2,0.740664,New York,11.0
2012-04-15,1,0.599156,New York,21.1
2012-04-20,1,0.348437,New York,15.3
2012-04-24,2,0.1539334999999999,New York,10.5
2012-04-29,1,0.950474,New York,12.8
2012-04-30,3,0.2564713333333333,New York,11.0
2012-05-01,365,0.5839194547945206,New York,16.0
2012-05-02,465,0.5669868193548386,New York,12.1
2012-05-03,483,0.5885148509316769,New York,12.4
2012-05-04,607,0.5892008616144976,New York,16.8
2012-05-05,496,0.6190037641129033,New York,15.3
2012-05-06,541,0.6093486155268022,New York,14.7
2012-05-07,480,0.5800679604166666,New York,13.9
2012-05-08,478,0.5890905878661088,New York,16.8
2012-05-09,539,0.5898534619666048,New York,18.7
2012-05-10,561,0.5911109304812834,New York,15.8
2012-05-11,542,0.5643522343173432,New York,16.2
2012-05-12,529,0.6117229281663517,New York,19.9
2012-05-13,564,0.6073750319148936,New York,22.4
2012-05-14,514,0.5997358424124514,New York,19.7
2012-05-15,264,0.5969770946969697,New York,17.6
2012-05-16,569,0.5522273304042179,New York,21.5
2012-05-17,512,0.606296876953125,New York,18.7
2012-05-18,541,0.5945434547134936,New York,16.6
2012-05-19,530,0.606954345283019,New York,18.6
2012-05-20,542,0.5981405018450184,New York,20.6
2012-05-21,493,0.5605742413793103,New York,17.0
2012-05-22,469,0.5713363262260128,New York,19.1
2012-05-23,533,0.5689953996247654,New York,20.9
2012-05-24,527,0.5638402068311196,New York,18.6
2012-05-25,460,0.579206752173913,New York,19.6
2012-05-26,586,0.5896914436860069,New York,24.3
2012-05-27,500,0.595707666,New York,23.6
2012-05-28,514,0.5962860953307394,New York,26.7
2012-05-29,546,0.5724678919413919,New York,28.1
2012-05-30,542,0.5812527195571956,New York,23.2
2012-05-31,548,0.5858044543795621,New York,23.7
2012-06-01,566,0.5813863038869258,New York,19.2
2012-06-02,550,0.594480010909091,New York,20.9
2012-06-03,544,0.6004176047794118,New York,19.5
2012-06-04,515,0.5796054058252427,New York,15.4
2012-06-05,534,0.5716795018726593,New York,15.1
2012-06-06,584,0.5849596609589042,New York,17.5
2012-06-07,593,0.5812907234401349,New York,20.4
2012-06-08,580,0.6174362568965517,New York,22.7
2012-06-09,575,0.5927093513043479,New York,23.0
2012-06-10,599,0.5973356210350584,New York,24.1
2012-06-11,466,0.5905781802575107,New York,21.1
2012-06-12,599,0.5685596110183639,New York,20.4
2012-06-13,594,0.5687527996632996,New York,20.5
2012-06-14,623,0.598869382022472,New York,20.5
2012-06-15,587,0.5968868364565587,New York,21.4
2012-06-16,629,0.6068656073131955,New York,20.9
2012-06-17,588,0.6204917380952382,New York,18.4
2012-06-18,576,0.5686246788194445,New York,18.0
2012-06-19,588,0.6072523078231293,New York,21.5
2012-06-20,682,0.5763530190615836,New York,29.5
2012-06-21,540,0.5874067074074075,New York,32.2
2012-06-22,677,0.5759643589364845,New York,28.4
2012-06-23,611,0.6126934975450082,New York,25.9
2012-06-24,607,0.6056177841845141,New York,24.8
2012-06-25,569,0.5771190369068541,New York,21.4
2012-06-26,539,0.5968168905380334,New York,19.9
2012-06-27,604,0.5812537566225164,New York,23.5
2012-06-28,656,0.5934063704268293,New York,26.8
2012-06-29,613,0.5953286443719412,New York,29.9
2012-06-30,207,0.5869962512077294,New York,30.7
2012-07-01,411,0.5682559781021898,New York,29.7
2012-07-02,612,0.5819025767973856,New York,28.0
2012-07-03,600,0.5816504633333334,New York,28.4
2012-07-04,640,0.6062539625000001,New York,29.8
2012-07-05,645,0.5951590248062015,New York,31.3
2012-07-06,635,0.5918631275590551,New York,29.4
2012-07-07,679,0.5907470898379971,New York,31.3
2012-07-08,613,0.6182704567699837,New York,29.0
2012-07-09,588,0.5912980017006803,New York,26.5
2012-07-10,580,0.5837882327586207,New York,25.8
2012-07-11,666,0.5894703738738739,New York,25.7
2012-07-12,697,0.5800144045911046,New York,26.5
2012-07-13,701,0.5898849543509272,New York,27.0
2012-07-14,646,0.5871566114551083,New York,26.8
2012-07-15,709,0.5748772665726375,New York,27.5
2012-07-16,686,0.5660627711370262,New York,27.9
2012-07-17,708,0.550441279661017,New York,31.2
2012-07-18,737,0.5688702605156039,New York,30.3
2012-07-19,728,0.5723355824175825,New York,24.0
2012-07-20,734,0.584355104904632,New York,20.3
2012-07-21,642,0.6055359813084112,New York,21.3
2012-07-22,680,0.5923579367647059,New York,23.8
2012-07-23,697,0.5875624146341464,New York,26.2
2012-07-24,745,0.5843185073825503,New York,29.2
2012-07-25,711,0.5891854092827004,New York,26.0
2012-07-26,706,0.5884454249291784,New York,26.0
2012-07-27,744,0.5920825201612903,New York,27.1
2012-07-28,723,0.5478224799446749,New York,24.6
2012-07-29,780,0.5789033653846154,New York,23.5
2012-07-30,702,0.5670353233618234,New York,23.9
2012-07-31,777,0.5545870102960103,New York,24.2
2012-08-01,744,0.5480174758064517,New York,23.2
2012-08-02,746,0.5787319879356568,New York,27.0
2012-08-03,684,0.5780818070175439,New York,28.3
2012-08-04,717,0.5675691422594142,New York,27.6
2012-08-05,796,0.573390987437186,New York,28.4
2012-08-06,775,0.5696469819354839,New York,27.2
2012-08-07,775,0.5725733367741935,New York,24.6
2012-08-08,788,0.5951051395939085,New York,26.5
2012-08-09,851,0.5777177896592244,New York,26.6
2012-08-10,781,0.5596942368758002,New York,25.7
2012-08-11,818,0.5736629547677262,New York,26.8
2012-08-12,789,0.5732575285171102,New York,26.5
2012-08-13,786,0.5814384745547073,New York,25.8
2012-08-14,842,0.5618322945368172,New York,24.4
2012-08-15,873,0.5684145257731958,New York,24.6
2012-08-16,804,0.5818193283582089,New York,25.2
2012-08-17,809,0.5755470531520396,New York,26.1
2012-08-18,753,0.5766959335989376,New York,22.4
2012-08-19,795,0.5919211597484277,New York,21.2
2012-08-20,781,0.5802717720870678,New York,22.7
2012-08-21,790,0.5480897265822785,New York,23.7
2012-08-22,757,0.5662504782034347,New York,24.2
2012-08-23,830,0.5780113469879518,New York,24.7
2012-08-24,837,0.578786560334528,New York,25.7
2012-08-25,399,0.6098549598997494,New York,25.1
2012-08-26,798,0.5888349097744361,New York,24.0
2012-08-27,762,0.5549759265091863,New York,24.8
2012-08-28,754,0.5667341737400531,New York,26.9
2012-08-29,890,0.5479677955056179,New York,23.6
2012-08-30,785,0.5660988585987261,New York,23.8
2012-08-31,855,0.5891652058479532,New York,26.4
2012-09-01,630,0.5621281396825397,New York,27.3
2012-09-02,788,0.5893122753807107,New York,24.4
2012-09-03,831,0.5551566233453671,New York,23.3
2012-09-04,799,0.5340777396745933,New York,24.2
2012-09-05,870,0.5695202367816092,New York,25.9
2012-09-06,1005,0.5714908746268655,New York,23.6
2012-09-07,939,0.5852032289669861,New York,26.1
2012-09-08,831,0.5961739422382671,New York,24.3
2012-09-09,809,0.5912920754017306,New York,21.4
2012-09-10,856,0.5806904614485981,New York,19.4
2012-09-11,838,0.5684271575178997,New York,18.3
2012-09-12,831,0.5867770060168471,New York,20.5
2012-09-13,811,0.5736187311960542,New York,21.2
2012-09-14,781,0.5708989257362357,New York,21.5
2012-09-15,837,0.5899700991636798,New York,20.0
2012-09-16,910,0.5828588692307692,New York,19.1
